link,name,price
/samsung-galaxy-a16-5g-8gb-256gb-light-green-sku3341595002,SAMSUNG Galaxy A16 5G 8GB/256GB - Light Green,3399000
/samsung-galaxy-a36-5g-8gb-256gb-awesome-lime-sku3341724788,SAMSUNG Galaxy A36 5G 8GB/256GB - Awesome Lime,5199000
/samsung-galaxy-z-fold6-12gb-256gb-silver-shadow-sku3341233580,SAMSUNG Galaxy Z Fold6 12GB/256GB - Silver Shadow,24999000
/samsung-galaxy-z-fold6-12gb-512gb-silver-shadow-sku3341233483,SAMSUNG Galaxy Z Fold6 12GB/512GB - Silver Shadow,26999000
/samsung-galaxy-tab-a9-4gb-64gb-graphite-sku3340509572,SAMSUNG Galaxy Tab A9 4GB/64GB - Graphite,2299000
/samsung-galaxy-tab-a8-lte-4gb-128gb-gray-sku3338265186,SAMSUNG Galaxy Tab A8 LTE 4GB/128GB - Gray,4499000
/samsung-galaxy-a16-5g-8gb-256gb-blue-black-sku3341595196,SAMSUNG Galaxy A16 5G 8GB/256GB - Blue Black,3399000
/samsung-galaxy-a16-4g-8gb-128gb-gray-sku3341573856,SAMSUNG Galaxy A16 4G 8GB/128GB - Gray,2699000
/samsung-galaxy-tab-a9-wifi-4gb-64gb-graphite-sku3340505207,SAMSUNG Galaxy Tab A9 WiFi 4GB/64GB - Graphite,1899000
/samsung-galaxy-a16-5g-8gb-256gb-light-green-sku3341595002,SAMSUNG Galaxy A16 5G 8GB/256GB - Light Green,3399000
/samsung-galaxy-a36-5g-8gb-256gb-awesome-lime-sku3341724788,SAMSUNG Galaxy A36 5G 8GB/256GB - Awesome Lime,5199000
/samsung-galaxy-z-fold6-12gb-256gb-silver-shadow-sku3341233580,SAMSUNG Galaxy Z Fold6 12GB/256GB - Silver Shadow,24999000
/samsung-galaxy-z-fold6-12gb-512gb-silver-shadow-sku3341233483,SAMSUNG Galaxy Z Fold6 12GB/512GB - Silver Shadow,26999000
/samsung-galaxy-tab-a9-4gb-64gb-graphite-sku3340509572,SAMSUNG Galaxy Tab A9 4GB/64GB - Graphite,2299000
/samsung-galaxy-tab-a8-lte-4gb-128gb-gray-sku3338265186,SAMSUNG Galaxy Tab A8 LTE 4GB/128GB - Gray,4499000
/samsung-galaxy-a16-5g-8gb-256gb-blue-black-sku3341595196,SAMSUNG Galaxy A16 5G 8GB/256GB - Blue Black,3399000
/samsung-galaxy-a16-4g-8gb-128gb-gray-sku3341573856,SAMSUNG Galaxy A16 4G 8GB/128GB - Gray,2699000
/samsung-galaxy-tab-a9-wifi-4gb-64gb-graphite-sku3340505207,SAMSUNG Galaxy Tab A9 WiFi 4GB/64GB - Graphite,1899000
/samsung-galaxy-a16-5g-8gb-256gb-light-green-sku3341595002,SAMSUNG Galaxy A16 5G 8GB/256GB - Light Green,3399000
